"","GLOB_EFF0.1","CLUSTERING0.1","GLOB_EFF0.2","CLUSTERING0.2","GLOB_EFF0.3","CLUSTERING0.3","PH_BS","PH_BD","PH_CS","MST_LEAF","MST_DIAM","RAW_FC"
"sub-100610",0.785242400723501,0.571866508743817,1.76316728282955,0.601801779350562,3.60413293069158,0.617890084277248,0.956034010310553,1.2035486267,0.626692532186546,0.36,0.21608040201005,0.119811870737092
"sub-102311",0.825472359085079,0.54587621394405,1.80266411087392,0.613773256592156,3.77096107511652,0.625951313702503,0.938082557966834,1.3593899034,0.540228787813035,0.35,0.195979899497487,0.115215483460719
"sub-102816",1.05604265020682,0.519026870007262,2.24288047130154,0.546067289859222,4.07634888992681,0.558681039521604,0.793937006096985,1.3951277073,0.438634508081279,0.405,0.206030150753769,0.100957277682473
"sub-104416",0.771764764524046,0.711654066390887,1.88846062380282,0.633377627446243,3.85007443064643,0.625849846091965,0.919205549443216,1.4843598249,0.602788349091436,0.405,0.246231155778894,0.116248146880557
"sub-105923",0.882368076256561,0.561466954685566,2.0464561759186,0.595303583122837,4.48154863860229,0.599967917960033,0.945433318669849,1.39320482,0.60602091071033,0.38,0.175879396984925,0.105901006553783
"sub-108323",0.918345581168452,0.518682809727586,2.08953208998812,0.535739110287303,4.45425651196489,0.553577927395141,0.973062978323618,1.497584995,0.589953512463315,0.35,0.195979899497487,0.106912880093295
"sub-109123",0.82327138948667,0.570230105465005,1.95274311426458,0.604347880268175,4.29533091805389,0.593849386642435,0.928250574325628,1.2220596178,0.48547193786102,0.39,0.231155778894472,0.110559579924531
"sub-111312",0.85070940020547,0.517485998755445,1.84791222726459,0.571056136295105,3.82617804706842,0.594627348583754,0.949709104425628,1.274010807,0.599794678089515,0.33,0.170854271356784,0.114397952644283
"sub-126426",0.917866356814377,0.528390081860244,1.96776888013857,0.587844011549285,3.9021680887336,0.598219144611899,0.874712322998492,1.3485562792,0.525607241935499,0.405,0.150753768844221,0.108543480431534
"sub-128935",0.943056357342406,0.539174284578696,2.16275603686715,0.565007085498347,4.48481668455579,0.577027556889504,0.872884668730151,1.4439722878,0.453019377707105,0.35,0.185929648241206,0.102309041691574
"sub-130114",0.921647689867707,0.541017601895969,2.15297438437254,0.556179881567248,4.34669342413962,0.567828743770571,0.905238398432161,1.4558023443,0.591458772036075,0.395,0.160804020100503,0.105271565714484
"sub-130518",1.08615834538868,0.553833252865093,2.47127727609314,0.526997006310167,4.88058787155817,0.537252948576156,0.8036340195,1.0415661213,0.537323292490909,0.375,0.190954773869347,0.0933285539024404
"sub-131217",0.741684156370377,0.613645857507542,1.68404193305376,0.6312116221693,3.51716254254316,0.638546896755411,0.962307651992965,1.4720228672,0.481292766301903,0.365,0.185929648241206,0.122728600750958
"sub-131722",0.687888110072627,0.599489281634299,1.47102676752079,0.675518442536653,3.00699778720805,0.6759907216466,1.00098619995226,1.1544440554,0.645105433565631,0.375,0.185929648241206,0.133583552461454
"sub-132118",0.87201485671513,0.512346771136105,1.86819773368609,0.573906642254478,3.76337954674161,0.598450203252033,0.933936973174874,1.5556531686,0.556253124687802,0.38,0.236180904522613,0.113197199560905
"sub-134627",0.917016278205377,0.537272064186725,1.99720958504147,0.564341622726195,3.83532801766814,0.570387259947008,0.903956184038693,1.5528232209,0.575619935612374,0.38,0.246231155778894,0.11183096807398
"sub-134829",0.959109320745424,0.580742720495147,2.18398021282303,0.581437502311989,4.31772084849002,0.577617147303165,0.877863530378392,1.6205113463,0.521177388210221,0.345,0.150753768844221,0.103407928335922
"sub-135124",0.755441249134127,0.642472446312919,1.7152839852674,0.632665192918578,3.68036663800261,0.624542845889833,0.970954183567839,1.4244035459,0.555956809106106,0.34,0.246231155778894,0.122661512157243
"sub-137128",0.926687622380952,0.515991102323282,2.09362780856511,0.570559936270452,4.22142758313558,0.572945143192915,0.918420488240201,1.4537678285,0.595386693024866,0.395,0.201005025125628,0.106861504001057
"sub-140117",0.834704822289496,0.536679347159161,1.7962041201376,0.589629050570477,3.48897688296696,0.605777628485052,0.979049416587437,1.5183969037,0.553637109725623,0.37,0.246231155778894,0.118723621463597
"sub-144226",0.843308174630038,0.535416565105055,1.82636699108457,0.599622690849319,3.85177897470558,0.615929053096844,0.93230299189397,1.3384933004,0.575402166030568,0.39,0.21105527638191,0.113364580373248
"sub-145834",0.956839313442533,0.515053423223891,2.14158363677347,0.554196855225074,4.35416627607065,0.567075479370991,0.890857995980905,1.2922947776,0.536443503789876,0.35,0.226130653266332,0.103886456087595
"sub-146129",0.873266101355426,0.533048826408937,1.96477518737633,0.568851390316676,4.18347393137929,0.577295609865849,0.959149889390955,1.6406710478,0.644917459395156,0.36,0.241206030150754,0.110874656172615
"sub-146432",0.813104465238847,0.561400937866354,1.75870268434862,0.604889957324686,3.54933922339506,0.620769334184788,0.94399832261206,1.2664745829,0.598760792037245,0.335,0.266331658291457,0.118230004685357
"sub-146735",0.861905846039798,0.541472990658423,1.90434090655999,0.590513327279526,3.78747035699772,0.607460688101109,0.892667467592462,1.3551813696,0.527749160459937,0.4,0.226130653266332,0.112738629919958
"sub-146937",0.826216133323857,0.585092268725124,1.82169971903394,0.620595195945065,3.99140749190299,0.629166196865486,0.920636662417588,1.2233545133,0.584515057388585,0.39,0.175879396984925,0.112101747230951
"sub-148133",0.857085358830142,0.520433880213481,1.88236963251477,0.575683155480203,3.85534511269344,0.594329512692497,0.979346355682412,1.2496636456,0.590709615730117,0.395,0.190954773869347,0.115005884733267
"sub-150423",0.826614826564475,0.544863364021628,1.86231846577751,0.590174279403849,3.96704441702468,0.596320521216967,0.961382780481407,1.2757107127,0.641021412013665,0.34,0.14572864321608,0.114734939665271
"sub-155938",0.869845050004383,0.540175225492983,2.02081413219644,0.568711921504292,4.16411618460082,0.572700759612144,0.952189449531658,1.5560234134,0.556351464577257,0.355,0.221105527638191,0.109826138538911
"sub-156334",0.912133753128069,0.525961803899917,2.0322241685178,0.573628658747913,3.97898903835737,0.586510730101056,0.894541046439196,1.5564432796,0.532448823266099,0.37,0.195979899497487,0.107726477965425
"sub-157336",0.875361740741365,0.526555697823303,1.88264395654514,0.58832315348583,3.84258613304366,0.585960825115353,0.922355943531658,1.2469959434,0.554147194647995,0.375,0.21608040201005,0.112600044074453
"sub-158035",0.784354937735118,0.586951926915761,1.77883426760278,0.622775581201695,3.66017993541061,0.614415815821478,0.965997798576884,1.3668294145,0.620382407511977,0.38,0.21105527638191,0.119046749167984
