"","GLOB_EFF0.1","CLUSTERING0.1","GLOB_EFF0.2","CLUSTERING0.2","GLOB_EFF0.3","CLUSTERING0.3","PH_BS","PH_BD","PH_CS","MST_LEAF","MST_DIAM","RAW_FC"
"sub-100206",0.552132458103442,0.598394624607709,1.13803810192537,0.62543447264898,1.88863878542534,0.650557590755072,1.00757439956985,1.3283777928,0.695787918723411,0.415,0.190954773869347,0.180879788799899
"sub-100307",0.747874057524648,0.555891303878613,1.50131937294748,0.555164652139542,2.51175173817826,0.577468792588815,0.902675219117085,1.5410229248,0.604749945082184,0.45,0.14070351758794,0.145299196011494
"sub-100408",0.644832944682101,0.55388165908071,1.24623372697948,0.588087602705903,2.06311666719154,0.611258372837361,0.994153066460804,1.3724327021,0.593720892271847,0.455,0.160804020100503,0.167594114564145
"sub-100610",0.680812498452549,0.557805472892847,1.30509317742687,0.575686028862601,2.15935498664813,0.602028789488938,0.988745237832663,1.7625884249,0.561685039809775,0.41,0.165829145728643,0.162465609894995
"sub-101107",0.903746331813366,0.49544239763291,1.68210810070838,0.504706330077382,2.75903447715157,0.531919451585261,0.847965494470352,1.1494939521,0.608439922191834,0.4,0.175879396984925,0.130725833701711
"sub-101309",0.77529271172085,0.504419939852365,1.43026736524151,0.534745548563645,2.33325268729644,0.55769171267921,0.930542677843216,1.194007662,0.635041586826223,0.395,0.14070351758794,0.151034962176857
"sub-101410",0.799552861860867,0.492485145054177,1.48117559389446,0.524510169112717,2.39263789758864,0.553514640226469,0.886211182152764,1.0780188542,0.550213812674237,0.385,0.180904522613065,0.146036269244283
"sub-101915",0.678915973739722,0.566806306970086,1.33112542123252,0.584143037746072,2.20183289018754,0.598403360401992,0.976461282113065,1.4807114453,0.641237040315977,0.39,0.201005025125628,0.16113183285541
"sub-102109",0.729472556173009,0.628464238170156,1.46370256738498,0.590903851637052,2.49322885470463,0.593628492630437,0.879617970311558,1.1472888415,0.669881621876278,0.425,0.201005025125628,0.147310240450958
"sub-102311",0.741886293907499,0.55464799688837,1.41726306341247,0.558727473653667,2.36545372734035,0.584078031498745,0.961935750793467,1.3381343685,0.663589565905458,0.44,0.170854271356784,0.151146206504883
"sub-102513",0.481408552275198,0.697869925332104,1.03888691333063,0.674515601373798,1.79339295196998,0.674187275152262,1.11527417038291,1.6911339644,0.672217665527841,0.425,0.21608040201005,0.197065928533524
"sub-102614",0.819356096309569,0.515064827204356,1.56783212190433,0.513575606984773,2.59614600982326,0.542480686743788,0.913353200980905,1.5763287137,0.581729617197585,0.41,0.170854271356784,0.141152161239838
"sub-102715",0.444444293454759,0.622336438590856,0.929621218479423,0.694860841290535,1.54991861473724,0.731759371097509,1.05949129280553,1.7602371996,0.719839270440541,0.455,0.185929648241206,0.207653640044176
"sub-102816",0.960073970375556,0.440477677567642,1.75820082151739,0.477371088613413,2.89868009804662,0.514702773127011,0.855610507674874,1.0671386318,0.601533515242424,0.435,0.180904522613065,0.125823041233105
"sub-103111",0.714015461461588,0.564573751203337,1.41334182920969,0.578550826293862,2.39146074982252,0.591370001687194,0.929521534993467,1.4497792204,0.608436989490227,0.465,0.155778894472362,0.15038646286802
"sub-103212",0.914891577741126,0.443977938984398,1.66472009177913,0.468542274610969,2.70322377732057,0.511616225040814,0.848965521878392,1.0786851906,0.599479664151487,0.44,0.14572864321608,0.132658462693775
"sub-103414",0.840377768910619,0.487655655482532,1.54528019730239,0.54101402969298,2.51800731834947,0.573344819099188,0.838178916963819,0.9565343352,0.586246018446125,0.465,0.155778894472362,0.138729870146889
"sub-103818",0.752223656892118,0.517910210748395,1.3849469065883,0.534387488282599,2.25662913613672,0.575704790152918,0.935540447072864,1.0943528007,0.661579192201262,0.415,0.195979899497487,0.154544614097007
"sub-104012",0.781481747419785,0.536532680102438,1.44777374823285,0.542829464585119,2.38254588909697,0.580390562810155,0.900010288468844,1.4045570244,0.572739940626067,0.475,0.185929648241206,0.147989761501706
"sub-104416",0.842186524447266,0.463765217608679,1.53659572807443,0.509024924765671,2.5003371097107,0.546211502275917,0.864182246757789,0.958525289,0.652298222501055,0.46,0.21105527638191,0.139918782136529
"sub-105014",0.793872728002352,0.528272328894722,1.55100086996536,0.531270086322378,2.55104155335076,0.55334992417467,0.898279950655276,1.1558720094,0.59323700190655,0.425,0.175879396984925,0.142425074012451
"sub-105115",0.544221827598827,0.653471759900678,1.21967885331681,0.677059856163996,2.10114290558776,0.659367093857575,0.964813208268844,1.3755135454,0.703716579558712,0.435,0.160804020100503,0.169299455379838
"sub-105216",0.52810860662097,0.581025538707103,1.10245191379539,0.637991080305656,1.83962671448579,0.678979726089699,1.01501271636834,1.4144365255,0.6776628014958,0.435,0.180904522613065,0.180185825508511
"sub-105620",0.797724084047329,0.51816534345875,1.50315852861064,0.559881027899795,2.50520015956144,0.581250996082773,0.861546227455779,0.9439772434,0.571276862377443,0.465,0.135678391959799,0.141609276334869
"sub-105923",0.81086232797061,0.462530498431509,1.42234052516106,0.521827174653238,2.22282329518792,0.568166757197175,0.877959738623116,1.3338017154,0.63444968789718,0.425,0.185929648241206,0.152570714332681
