"","GLOB_EFF0.1","CLUSTERING0.1","GLOB_EFF0.2","CLUSTERING0.2","GLOB_EFF0.3","CLUSTERING0.3","PH_BS","PH_BD","PH_CS","MST_LEAF","MST_DIAM","RAW_FC"
"sub-100206",0.874706312576472,0.525367247007617,1.76524945882959,0.542620920779454,2.9967188174444,0.570110537203193,0.856314419133028,1.3609396156,0.504705460931848,0.388127853881279,0.188073394495413,0.125122418524438
"sub-100307",1.11365986159745,0.491127472602043,2.21059252382105,0.506130656924344,3.74960265339392,0.528567665806248,0.730145715450459,1.2238294712,0.464915455582278,0.447488584474886,0.13302752293578,0.104179282012068
"sub-100408",1.10059583420329,0.489969392216878,2.1565711332386,0.488354577880093,3.64995568789727,0.520393297779535,0.767305494364679,1.1027740761,0.470607150286432,0.4337899543379,0.18348623853211,0.106129059038174
"sub-100610",1.01006982611113,0.538394854101288,2.04269021955514,0.518219277692494,3.52947603652536,0.533645796295698,0.837978219769266,1.2441983705,0.535071736792066,0.438356164383562,0.165137614678899,0.112677185950149
"sub-101107",0.871105595106254,0.536642721386464,1.80556519397188,0.549217648243906,3.09907672287329,0.569060912428952,0.830197739806881,1.1213602365,0.480050871248999,0.447488584474886,0.160550458715596,0.122473414888469
"sub-101309",0.984938714151473,0.513252892068181,1.94097828065683,0.534159496596892,3.28708977830841,0.557591472566213,0.789904259323853,1.2225211178,0.468580905462223,0.465753424657534,0.142201834862385,0.11496663918953
"sub-101410",0.917223419696301,0.534377387318564,1.74794680642439,0.554048021643558,2.91533385543377,0.581276433510622,0.805822528266055,1.2531676195,0.497916811615909,0.447488584474886,0.160550458715596,0.124745672740009
"sub-101915",0.879227470774522,0.553183785651981,1.7670729021967,0.56123873245144,2.98397400038517,0.58741469037933,0.815141148766055,1.0605898886,0.472825369701092,0.420091324200913,0.18348623853211,0.124287258082297
"sub-102109",0.824078059829317,0.582932967284374,1.75772504967522,0.572007537507213,3.04846025266732,0.57831724137931,0.858909505608257,1.4676139979,0.504892549168869,0.429223744292237,0.13302752293578,0.127418241884206
"sub-102311",0.850594445557537,0.550802054273396,1.67846262238198,0.562188286862077,2.80972745510921,0.591094973728562,0.858787955534404,1.1965897046,0.530864363024418,0.442922374429224,0.165137614678899,0.130371009632459
"sub-102513",1.03452100231448,0.477208970195692,1.94870266934909,0.518287186966388,3.26593953558265,0.551025139250605,0.792867587976147,1.1383416374,0.514782726141835,0.401826484018265,0.174311926605505,0.114789613615072
"sub-102614",0.865005784908109,0.545812587054322,1.78724401962024,0.56318793314309,3.02333388233943,0.588835257692595,0.857364028425688,1.4810206299,0.516837777003398,0.420091324200913,0.206422018348624,0.12531082688704
"sub-102715",1.13273743090249,0.504411084628793,2.23194781602261,0.481202099179464,3.81203522224025,0.507045467882969,0.773127878000917,1.2365123117,0.533469446470604,0.410958904109589,0.178899082568807,0.103717175036367
"sub-103010",1.01561158332785,0.494151336341548,1.9253861161028,0.508209789484111,3.15179346106535,0.549120640918924,0.788044498888073,1.2481215939,0.51451728441003,0.429223744292237,0.146788990825688,0.116652831648239
"sub-103111",1.17641908676425,0.459768918496929,2.17668974850138,0.49246033970514,3.59861514455349,0.525958384583846,0.70527020906789,1.0236192796,0.458677305858673,0.479452054794521,0.155963302752294,0.103262027213331
"sub-103212",0.958208559809575,0.534935203438581,1.95786965029343,0.533865368390479,3.34336146885142,0.552916981107873,0.797529589961009,1.2295647697,0.490258373973495,0.442922374429224,0.211009174311927,0.1157040469602
"sub-103414",1.20843956358412,0.442192406508707,2.33178756962635,0.438305843785216,3.95155513303539,0.479060165799465,0.73931736862844,1.0954268071,0.492808791459856,0.45662100456621,0.142201834862385,0.0991562737158671
"sub-103818",1.03464913192666,0.51174635625033,2.0476260821381,0.505308736893245,3.45299882030195,0.532778177947535,0.80881301558211,1.3131362767,0.51262711174434,0.447488584474886,0.169724770642202,0.111597882354751
"sub-104012",0.976023773469023,0.484921907683726,1.87172745194011,0.509221885861644,3.12305664038504,0.547257966177839,0.815005237712844,1.1955546669,0.492870660412002,0.4337899543379,0.169724770642202,0.118745243901873
"sub-104416",0.702830467152065,0.608988090137949,1.50204509266619,0.646836322357107,2.67854744099509,0.652939752104258,0.868925390363761,1.4708673069,0.476496583105336,0.424657534246575,0.142201834862385,0.137937784888316
"sub-105014",0.987936908705339,0.512761558183773,1.91215091823138,0.548717879616779,3.1541064565382,0.584827580464532,0.774156477126606,1.1645450194,0.498947500286048,0.461187214611872,0.18348623853211,0.115123914298511
"sub-105115",1.00060701103143,0.504840844187504,2.05899448747453,0.520323090984166,3.55075155673597,0.538888465059506,0.805840257072936,1.3675793898,0.468861031751009,0.447488584474886,0.155963302752294,0.110154239889232
"sub-105216",1.00035709962232,0.507832944972217,2.02402892619285,0.502891085699528,3.50711811255362,0.522370521413621,0.848652231807339,1.2278721473,0.48620122024649,0.410958904109589,0.178899082568807,0.112923090557789
"sub-105620",0.906363126215897,0.544615384615385,1.91478612217188,0.523436777570232,3.28633816840086,0.548413275219463,0.850344500401835,1.4733914666,0.511426356812768,0.410958904109589,0.169724770642202,0.119872343577502
"sub-105923",0.869364116696766,0.548572822639668,1.70838729073902,0.576815872183225,2.93220957227809,0.601253065126138,0.868854474521101,1.3645510034,0.507201399604368,0.424657534246575,0.23394495412844,0.127089576580658
"sub-106016",1.01200410300734,0.505867819641754,1.93751807648369,0.523231527454609,3.24027621747316,0.562183105732829,0.794263452843578,1.3650006822,0.481718222799573,0.452054794520548,0.165137614678899,0.115713150596268
"sub-106319",1.10806952345691,0.460941513172378,2.13488531507749,0.474641961790047,3.53728749434148,0.514267537700186,0.759774211957339,1.0435723915,0.475025332244243,0.424657534246575,0.165137614678899,0.106642089402983
"sub-106521",1.05110253313292,0.520397790804052,2.06428950640057,0.520358169397887,3.52062287544946,0.538237598414241,0.75344495478578,1.3097839602,0.497178602947099,0.420091324200913,0.165137614678899,0.108922340024995
"sub-106824",0.987794483756321,0.524205068514893,2.09073349034748,0.51727859215328,3.6621189898663,0.536468783700757,0.822421167933028,1.3308222623,0.481912589068886,0.420091324200913,0.169724770642202,0.109159624047342
"sub-107018",0.970329521951821,0.472146310700021,1.94112039397773,0.50397607367965,3.27981530094465,0.540829648971841,0.843376176406881,1.1804369129,0.455778914155262,0.452054794520548,0.160550458715596,0.116524923854312
"sub-107321",0.959877815209521,0.531103536429484,1.85533653421558,0.566979318530751,3.1468089809281,0.587167914847903,0.752667916631651,1.1420002081,0.51958271444163,0.452054794520548,0.146788990825688,0.117569225565774
"sub-107422",0.912474356013573,0.516284759031232,1.87508817776919,0.558852327554506,3.129022971545,0.588202892848638,0.827949028951835,1.2322888927,0.44978769060283,0.447488584474886,0.169724770642202,0.11868167208858
"sub-107725",1.08619315727223,0.469241267755143,2.02043125570115,0.505178334071777,3.2843688490281,0.543634402266865,0.723322585527982,1.0645655425,0.47563883180435,0.470319634703196,0.192660550458716,0.111621998812239
"sub-108020",0.952677102566091,0.484297682622116,1.88158224394316,0.537437897653568,3.14848318179637,0.572385950746871,0.819653050122018,1.3717310823,0.465928468479537,0.461187214611872,0.155963302752294,0.118001565335776
"sub-108222",0.753994864290293,0.572893041821646,1.55721474010481,0.627601897979379,2.71907138036519,0.639753719605119,0.894658647390367,1.5913995708,0.500203137131913,0.424657534246575,0.18348623853211,0.136611862442624
"sub-108323",0.701637959910618,0.577843359818388,1.50668424058537,0.622602722234991,2.63896576539448,0.640283447963024,0.886482560081193,1.4286084529,0.526659458960361,0.442922374429224,0.169724770642202,0.139013175213039
"sub-108525",0.735323241478518,0.638148388061189,1.59539097038229,0.646963834491472,2.69540882371952,0.647840200043437,0.817003679442202,1.4088254985,0.504610149710632,0.410958904109589,0.160550458715596,0.135903441689665
"sub-108828",0.837792856777395,0.565838941749826,1.71895930472622,0.566019701032844,2.80958676345082,0.595674066580568,0.81310806661422,1.2229215711,0.482213825851825,0.461187214611872,0.165137614678899,0.130228779409577
"sub-109325",0.912117058800076,0.528362373968075,1.84989852097517,0.54404914445899,3.21323369239334,0.566909855800125,0.824746819305963,1.4377421101,0.411867927191739,0.447488584474886,0.165137614678899,0.118747420624737
"sub-109830",1.18718200246296,0.49119961759735,2.27274082957704,0.491976933977486,3.82138139594705,0.527064945666037,0.693640035768807,1.1879702342,0.486638911470558,0.461187214611872,0.155963302752294,0.100147923198201
"sub-110007",1.18184404260012,0.4943118710242,2.30570130885399,0.483188427734837,3.84867193068528,0.505886159919749,0.697058301285321,1.0793547725,0.457335170324936,0.479452054794521,0.165137614678899,0.099964468862714
"sub-110411",0.726360698789575,0.544188107114728,1.58509276255688,0.587629548544289,2.74619314635541,0.604638294006392,0.88810055611422,1.4412950245,0.49527895565859,0.415525114155251,0.211009174311927,0.135701426974394
"sub-110613",1.02075031374954,0.511199541244548,2.04157729297626,0.510253573859769,3.46716932415438,0.528935964096343,0.801740069401376,1.3005053502,0.461946023029247,0.429223744292237,0.197247706422018,0.111663950980056
"sub-111009",0.810751099025253,0.583893245202426,1.69297982928336,0.595986278336992,2.96333305862347,0.60404977132266,0.886615395709174,1.4478238704,0.541507875711026,0.447488584474886,0.155963302752294,0.129809650163899
"sub-111211",0.975210234150672,0.541285756414037,2.009303684456,0.5373791636557,3.44053768268707,0.551273931894578,0.786363979140367,1.1004455845,0.460121952398708,0.420091324200913,0.188073394495413,0.112599637090232
"sub-111312",0.9879201020771,0.514208461456897,1.96685307540723,0.522061092255477,3.34503237235434,0.547062181533713,0.848965911991284,1.2356489048,0.555359857152746,0.438356164383562,0.18348623853211,0.115830392873419
"sub-111413",0.948213935786305,0.509838081574093,1.8658819872329,0.529466154518481,3.14854398971234,0.554219014523746,0.809286522052752,1.1337118397,0.525419785446165,0.415525114155251,0.174311926605505,0.119523550714152
"sub-111514",1.02906574946788,0.498110874493371,2.0475627523659,0.51458993287654,3.47069877590869,0.543228141131393,0.768760891652294,1.2286543626,0.44821973258678,0.406392694063927,0.160550458715596,0.11057334246178
"sub-111716",0.852672515660746,0.590157154673284,1.84004454789781,0.580726180726181,3.2070291282329,0.575044318977461,0.816278060751376,1.2633127162,0.487745652542159,0.429223744292237,0.169724770642202,0.120838424051636
"sub-112112",0.84908903652262,0.533433472235682,1.76256191888693,0.557918643610443,3.04996391337914,0.576695741145532,0.864212590509633,1.4257564711,0.425704347302209,0.438356164383562,0.160550458715596,0.124296810827438
"sub-112314",0.782830450245912,0.621426234361124,1.78377806798843,0.582833813081685,3.1864764762027,0.583826055378271,0.883566848515138,1.2159507097,0.52405988010505,0.424657534246575,0.146788990825688,0.125455759783168
"sub-112819",1.03900805202424,0.495058607216732,1.9681549884374,0.517665448877637,3.23677983832248,0.551354699580169,0.768521034254587,1.4267180508,0.4884229866245,0.410958904109589,0.160550458715596,0.114697218463612
"sub-112920",1.00745643154302,0.479387679952305,1.98112699659552,0.495670700448215,3.33147392145442,0.529367445634325,0.820705907397706,1.2099263748,0.423854270634185,0.442922374429224,0.169724770642202,0.114408308553126
